403,46	14,059
403,82	14,451
404,17	14,591
404,53	14,760
404,89	14,847
405,25	15,282
405,61	15,052
405,96	15,466
406,32	15,506
406,68	15,471
407,04	15,203
407,40	15,593
407,75	15,728
408,11	16,008
408,47	16,097
408,83	16,758
409,19	16,313
409,54	17,079
409,90	16,844
410,26	16,263
410,62	16,329
410,97	16,706
411,33	17,210
411,69	17,028
412,05	16,150
412,40	17,008
412,76	17,644
413,12	17,403
413,47	17,313
413,83	17,492
414,19	17,416
414,55	18,020
414,90	17,093
415,26	17,610
415,62	18,200
415,97	17,882
416,33	18,145
416,69	17,607
417,04	18,262
417,40	18,428
417,76	18,038
418,12	18,065
418,47	18,240
418,83	18,856
419,19	18,756
419,54	19,415
419,90	18,280
420,25	18,483
420,61	18,499
420,97	18,663
421,32	19,091
421,68	18,933
422,04	18,850
422,39	19,631
422,75	19,513
423,11	20,152
423,46	19,062
423,82	19,252
424,17	19,255
424,53	19,575
424,89	19,359
425,24	19,895
425,60	19,820
425,95	18,976
426,31	19,544
426,67	20,281
427,02	20,267
427,38	19,644
427,73	19,562
428,09	19,845
428,44	19,741
428,80	19,996
429,16	20,453
429,51	20,700
429,87	21,089
430,22	20,775
430,58	20,696
430,93	20,973
431,29	19,963
431,64	20,043
432,00	19,915
432,35	20,936
432,71	20,871
433,06	20,081
433,42	21,370
433,77	20,863
434,13	20,837
434,48	20,500
434,84	20,842
435,19	20,277
435,55	20,893
435,90	20,886
436,26	20,418
436,61	20,332
436,97	21,200
437,32	19,728
437,68	21,187
438,03	20,825
438,39	20,724
438,74	20,075
439,10	20,902
439,45	20,354
439,81	21,277
440,16	19,977
440,51	20,638
440,87	21,053
441,22	19,857
441,58	19,108
441,93	20,823
442,29	20,493
442,64	19,527
442,99	20,567
443,35	20,248
443,70	19,930
444,06	17,875
444,41	18,986
444,76	19,108
445,12	18,838
445,47	20,076
445,82	18,061
446,18	20,886
446,53	17,828
446,89	16,626
447,24	15,914
447,59	18,087
447,95	19,369
448,30	16,714
448,65	17,281
449,01	15,688
449,36	15,845
449,71	13,885
450,07	16,108
450,42	15,404
450,77	14,671
451,13	14,166
451,48	17,579
451,83	16,711
452,19	17,872
452,54	17,672
452,89	16,257
453,25	17,650
453,60	16,710
453,95	16,894
454,30	17,345
454,66	17,501
455,01	18,747
455,36	21,148
455,71	17,561
456,07	16,766
456,42	17,439
456,77	18,037
457,13	18,685
457,48	17,380
457,83	19,310
458,18	18,164
458,53	19,232
458,89	18,406
459,24	18,383
459,59	17,820
459,94	16,819
460,30	18,260
460,65	19,043
461,00	20,738
461,35	20,203
461,70	19,115
462,06	21,076
462,41	19,555
462,76	19,173
463,11	21,986
463,46	19,796
463,82	20,514
464,17	17,992
464,52	19,779
464,87	16,899
465,22	20,449
